epoch,accuracy,loss,top5_accuracy,val_accuracy,val_loss,val_top5_accuracy
0,0.7418333292007446,0.8832159638404846,0.9515833258628845,0.6904429197311401,1.2208036184310913,0.9412587285041809
1,0.7579166889190674,0.8045381903648376,0.9620833396911621,0.7150349617004395,1.1158418655395508,0.9425407648086548
2,0.7835000157356262,0.702890157699585,0.9715833067893982,0.7320512533187866,1.0418697595596313,0.9475524425506592
3,0.8045833110809326,0.633155345916748,0.9743333458900452,0.7201631665229797,1.0884819030761719,0.9420745968818665
4,0.8239166736602783,0.5632181167602539,0.9800833463668823,0.7300699353218079,1.0146671533584595,0.9472028017044067
5,0.8352500200271606,0.518647313117981,0.984000027179718,0.7328671216964722,1.0229731798171997,0.9445221424102783
6,0.8488333225250244,0.4761814475059509,0.9861666560173035,0.7305361032485962,1.0273441076278687,0.9468531608581543
7,0.8532500267028809,0.47071942687034607,0.9848333597183228,0.7208624482154846,1.0794368982315063,0.9406759738922119
8,0.8699166774749756,0.4122394621372223,0.9886666536331177,0.7231934666633606,1.100812315940857,0.9445221424102783
9,0.8741666674613953,0.3965131342411041,0.9890833497047424,0.7216783165931702,1.113804817199707,0.939976692199707
10,0.8816666603088379,0.3770766258239746,0.9910833239555359,0.7107226252555847,1.153414011001587,0.938811182975769
